PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,ContactPositionX,ContactPositionY,ContactPositionZ
11,04/16/2019,6:37:01 PM,1,1,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Jeon, Jun Woo",78513,Right,LOT_GIA,Windup,1,Bottom,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,144.547774,-3.984339076,-3.675245896,2524.929771,188.7733734,12:15,1.853376768,0.587051665,1.877712234,-25.33622243,62.11571577,9.599154538,0.474122958,-0.35311954,131.9808609,-5.85819485,-2.962509526,0.422317793,,,,,,,,,,,,-7.852212145,36.68388109,-0.502661704,15.24,1.75946647,2.513883921,-39.69340916,-2.86479685,-1.616612206,8.409756441,-2.254178311,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,301ef572-602b-11e9-af39-484d7ee4b922,,,
12,04/16/2019,6:37:15 PM,1,2,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Jeon, Jun Woo",78513,Right,LOT_GIA,Windup,1,Bottom,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,145.3152672,-3.348676465,-3.303759093,2525.326781,203.4123771,12:45,1.832864139,0.578461794,1.867749579,-35.99009914,50.10152542,21.72876594,0.526935229,-0.13600946,133.3172379,-6.006944185,-1.692761752,0.419020346,,,,,,,,,,,,-14.05322563,29.5060766,-0.502881065,15.24,1.752471238,2.224326156,-39.95839204,-2.47824107,-2.945751985,8.153076196,-3.621765049,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,3810378e-602b-11e9-af39-484d7ee4b922,,,
13,04/16/2019,6:37:32 PM,1,3,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Jeon, Jun Woo",78513,Right,LOT_GIA,Windup,1,Bottom,0,1,1,Fastball,Fastball,InPlay,Undefined,LineDrive,Out,1,0,,146.2120941,-2.966079361,-3.034688534,2536.61618,190.4600173,12:15,1.865616585,0.538243794,1.867835486,-28.06458237,57.11985648,10.56010231,0.747457682,-0.211875179,133.6336304,-5.044179109,-2.25060564,0.416806798,126.9606515,10.99856237,-13.47189666,492.6831365,32.64418929,2.950108431,-7.647274017,49.29859578,45.07201721,-13.3897146,1.707063599,-7.879448157,33.15626122,-0.468241816,15.24,1.794693446,2.092191807,-40.22151568,-2.193666127,-1.667878315,8.529158153,-2.788314706,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,43c478e5-602b-11e9-af39-484d7ee4b922,0.570129442,0.759652051,0.206429404
14,04/16/2019,6:38:06 PM,2,1,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Asuaje, Carlos",69530,Left,LOT_GIA,Windup,1,Bottom,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,144.2934627,-3.265816048,-1.745646924,2536.635312,192.6730942,12:30,1.844440876,0.610728898,1.860045266,-29.01339847,58.6942599,13.21690705,0.632404937,0.250732038,131.5239395,-5.41571706,-0.761478367,0.422934797,,,,,,,,,,,,-8.459686628,34.30169903,-0.570704514,15.24,1.766067054,1.160489625,-39.70913735,-2.376029159,-1.739349134,8.582230489,-2.754068371,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,56b4d438-602b-11e9-af39-484d7ee4b922,,,
15,04/16/2019,6:38:19 PM,2,2,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Asuaje, Carlos",69530,Left,LOT_GIA,Windup,1,Bottom,1,0,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,145.1323856,-2.015438224,-3.523426937,2575.153656,210.9055477,1:00,1.806633994,0.636785116,1.811645487,-34.83862918,52.05388697,31.20936072,0.887175825,-0.048439178,132.718895,-4.590459383,-1.215338091,0.420964862,158.3710077,22.65243852,34.63990871,2585.238033,26.25480163,10.9782981,20.85212088,90.31919194,76.79589163,46.87650162,3.113952026,-19.28439812,29.50164585,-0.553369582,15.24,1.755295043,2.336345093,-39.92739924,-1.544033632,-4.03034856,8.251570392,-3.640944691,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,5fa785b7-602b-11e9-af39-484d7ee4b922,0.51455516,0.893810861,0.046673766
16,04/16/2019,6:39:08 PM,2,3,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Asuaje, Carlos",69530,Left,LOT_GIA,Windup,1,Bottom,1,0,2,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,147.5286183,-3.183180599,-2.965587208,2550.22882,200.1587673,12:45,1.835610641,0.564495437,1.827037011,-27.89710859,56.8735062,20.90817881,0.655487761,-0.064735948,133.7093674,-5.253748976,-1.409507309,0.415793146,151.5068434,26.44776459,4.360283053,1923.474101,33.47046715,15.0652769,1.962452592,108.5739018,107.2724487,0.647707963,4.659296265,-13.61054147,33.28656213,-0.494706401,15.24,1.757271721,2.01890703,-40.54657855,-2.36690632,-2.903161567,9.350515205,-2.706545415,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,7a7f9a65-602b-11e9-af39-484d7ee4b922,0.365704465,0.649402532,0.06635799
17,04/16/2019,6:39:40 PM,3,1,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Son, Ah Seop",77532,Left,LOT_GIA,Windup,1,Bottom,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,143.0548574,-0.415584335,-2.368397352,2302.778608,207.9102719,1:00,1.814549814,0.645655344,1.966055046,-40.12632652,47.61834956,25.26724979,1.296820771,0.234794997,130.3628357,-3.418909784,-0.476159584,0.423024039,,,,,,,,,,,,-15.62500539,26.51916549,-0.595962701,15.24,1.803403231,1.543127669,-39.44016254,-0.42625199,-3.171659214,8.40678094,-4.423627498,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,8c64fd4c-602b-11e9-af39-484d7ee4b922,,,
18,04/16/2019,6:39:52 PM,3,2,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Son, Ah Seop",77532,Left,LOT_GIA,Windup,1,Bottom,2,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,143.9214607,-2.366981055,-2.274024894,2371.614915,216.6966283,1:15,1.831003203,0.607211636,1.89647769,-41.28684219,46.43962541,34.67225197,0.751598284,0.314106245,131.1746841,-5.437358417,0.314374692,0.422980145,,,,,,,,,,,,-20.60981937,27.10756227,-0.557502664,15.24,1.774566174,1.446619453,-39.63042469,-1.790776442,-4.217597266,8.604908303,-4.259353419,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,9312133c-602b-11e9-af39-484d7ee4b922,,,
19,04/16/2019,6:40:05 PM,3,3,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Son, Ah Seop",77532,Left,LOT_GIA,Windup,1,Bottom,2,1,1,Cutter,Cutter,InPlay,Undefined,Popup,Double,0,0,,140.6298444,-2.486380867,-2.887746388,2322.183208,171.7516126,11:45,1.82297937,0.574582922,1.862130539,-51.28132098,40.07500617,-5.821899511,0.608134209,-0.29813713,130.0082382,-6.254352643,-3.317747781,0.431642278,114.6388956,51.066678,-26.31113525,5744.953554,26.50865522,25.75153439,-20.52838262,53.47694219,31.71348366,-43.05856922,4.488041382,1.30407242,23.33404961,-0.506686912,15.24,1.761511007,1.975050607,-38.72693283,-1.873434233,0.258089902,7.272749405,-5.188591615,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,99cfd670-602b-11e9-af39-484d7ee4b922,0.248853442,0.587972489,0.308751486
20,04/16/2019,6:41:09 PM,4,1,"Wieland, Joseph Andrew",69656,Right,KIA_TIG,"Lee, Dae Ho",71564,Right,LOT_GIA,Stretch,1,Bottom,2,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,143.9738798,-3.006131191,-2.412925033,2395.339772,211.7164242,1:00,1.835167428,0.57366225,1.83458955,-39.14523675,49.42444482,30.59619973,0.593562824,0.198062105,131.0552078,-5.905251905,-0.136197935,0.425008095,,,,,,,,,,,,-18.38937838,29.04595052,-0.518094493,15.24,1.760799668,1.552418719,-39.6038149,-2.230596268,-3.753674125,8.685395313,-3.877736546,LOT_GIA,KIA_TIG,Sajik,KBO,KBO,20190416-Sajik-1,c215265b-602b-11e9-af39-484d7ee4b922,,,
