PitchCall	PlateLocHeight	PlateLocSide
StrikeCalled	0.687630971	0.187184204
InPlay	0.526561947	-0.35907679
StrikeCalled	0.628956426	-0.036696513
StrikeCalled	0.684718597	-0.224669331
StrikeSwinging	1.128106768	-0.031286554
InPlay	0.835578588	-0.147531842
BallCalled	0.25008231	-0.112113115
FoulBall	0.842992966	-0.254704089
StrikeCalled	0.857308597	0.318921897
FoulBall	0.843491732	-0.144585114
FoulBall	0.782979621	0.323638631
BallCalled	0.399413786	-0.222734062
InPlay	0.874979411	-0.330012815
FoulBall	1.175577033	0.179423961
FoulBall	0.88892317	0.140510492
BallCalled	1.40576394	0.400713035
BallCalled	0.329864876	0.518461764
InPlay	1.0913771	-0.16479798
InPlay	0.970903388	0.152288173
BallCalled	0.355804042	-0.293627755
BallCalled	1.198475706	-0.209222595
FoulBall	0.893170491	0.143588387
StrikeCalled	0.536574039	-0.105584446
InPlay	0.585707727	-0.144703455
BallCalled	0.458563889	-0.401758166
StrikeCalled	0.546871606	-0.09144269
FoulBall	1.086563078	0.053120647
FoulBall	0.418400001	-0.056257416
InPlay	0.834713172	-0.272340433
StrikeCalled	0.515281353	0.365389909
FoulBall	0.654815428	0.249411859
FoulBall	0.70056986	0.414911881
BallCalled	1.558530536	0.310005756
StrikeSwinging	0.875284622	0.1930502
InPlay	0.69761596	-0.058804447
BallCalled	0.494429601	-0.395233179
FoulBall	0.704241757	0.035578336
BallCalled	0.892191031	-0.510051199
BallCalled	0.487578092	0.089235275
FoulBall	0.633944864	0.101730566
FoulBall	0.751680779	0.169352713
FoulBall	0.850685787	-0.354059314
InPlay	0.719881455	-0.154345891
InPlay	0.696127303	0.139255575
BallCalled	0.69954283	-0.401301154
FoulBall	0.566145426	-0.048898132
BallCalled	1.211712959	-0.015028408
StrikeCalled	0.969115524	0.272151294
InPlay	0.817975192	0.131427324
StrikeCalled	0.926564048	0.299881402
BallCalled	0.449488999	0.590218803
StrikeSwinging	0.628019407	0.152434782
BallCalled	0.335459024	0.413675192
InPlay	0.479833962	0.295768027
InPlay	0.77277565	0.039474809
BallCalled	1.282632358	-0.00336396
InPlay	0.574329642	-0.012988747
BallCalled	1.063101548	0.129644785
InPlay	0.599697415	0.137033242
StrikeSwinging	0.751623065	-0.327161698
FoulBall	0.491724622	-0.166396952
BallCalled	0.360273164	-0.920813484
BallCalled	0.383383479	-0.464515321
FoulBall	0.297239581	-0.065521641
FoulBall	0.45141873	-0.270594134
FoulBall	0.879203085	0.293187522
BallCalled	0.309606803	-0.62247077
BallCalled	0.399910883	-0.529423999
FoulBall	0.487069653	-0.217370908
StrikeSwinging	0.429681044	0.483630213
BallCalled	0.171765054	-1.055728095
FoulBall	0.542224826	-0.36111359
BallCalled	0.436752849	0.430796546
FoulBall	0.743283738	-0.087780831
BallCalled	0.687174979	0.534956576
FoulBall	0.49302774	-0.054391253
BallCalled	0.431824972	-0.76649665
InPlay	0.483780646	-0.106890413
StrikeCalled	0.61292263	0.111287463
