GTGTTCTATTTTT
         5742 function calls (5643 primitive calls) in 0.014 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       12    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 enum.py:470(__prepare__)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.001    0.001 gene.py:8(find_units)
       82    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       23    0.000    0.000    0.000    0.000 types.py:164(__init__)
       65    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 _parser.py:71(State)
        8    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       24    0.000    0.000    0.000    0.000 enum.py:747(__delattr__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        1    0.000    0.000    0.000    0.000 _constants.py:1(<module>)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
       39    0.000    0.000    0.000    0.000 _parser.py:252(get)
       27    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       36    0.000    0.000    0.000    0.000 _parser.py:170(append)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       50    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
