GTGTTCTATTTTT
         5565 function calls (5470 primitive calls) in 0.014 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      114    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        3    0.000    0.000    0.001    0.000 _compiler.py:738(compile)
       58    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
       23    0.000    0.000    0.000    0.000 types.py:164(__init__)
       14    0.000    0.000    0.000    0.000 enum.py:942(_get_mixins_)
        8    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       82    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       10    0.000    0.000    0.000    0.000 __init__.py:272(_compile)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       65    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
      2/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:1209(_handle_fromlist)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       24    0.000    0.000    0.000    0.000 enum.py:747(__delattr__)
        2    0.000    0.000    0.000    0.000 copyreg.py:22(constructor)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     18/2    0.000    0.000    0.012    0.006 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       27    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
       50    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       10    0.000    0.000    0.001    0.000 __init__.py:173(search)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        3    0.000    0.000    0.000    0.000 _constants.py:69(_makecodes)
       35    0.000    0.000    0.000    0.000 _parser.py:252(get)
       84    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       28    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       11    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1032(__exit__)
